Group.1	P32DA1	P32DA2	P32DA3	P32DB1	P32DB2	P32DB3	P32HA1	P32HA2	P32HA3	P32HB1	P32HB2	P32HB3	P60DA1	P60DA2	P60DA3	P60DB1	P60DB2	P60DB3	P60HA1	P60HA2	P60HA3	P60HB1	P60HB2	P60HB3
Rhced	342.702	1182.057	2633.466	386.386	2240.87	2974.93	368.694	1081.225	1789.656	1839.942	952.568	1426.074	98.467	187.407	495.373	127.825	362.134	231.925	114.223	275.937	229.822	119.229	414.501	401.42
Rheb	13560.429	10439.087	21079.683	12934.438	12592.416	19015.365	12101.95	12808.569	20045.839	12734.813	13336.102	19840.1	14726.57	16132.349	19943.811	14344.612	15604.729	16454.402	15498.242	14789.116	19492.083	15326.635	15208.664	17906.04
Rhebl1	452.141	751.32	526.443	488.49	702.1	454.041	350.912	913.312	690.542	450.859	605.549	526.622	798.977	760.569	1197.811	612.815	479.735	585.552	617.37	1256.173	989.506	488.464	629.693	629.083
Rhoa	26265.51	17918.291	22904.539	27303.831	16787.777	24163.383	25709.557	15826.133	21998.004	25067.569	18680.388	28040.321	25222.597	25885.208	20327.844	27388.993	22874.878	24661.523	25084.509	21946.866	19337.412	27665.492	23189.152	21963.318
Rhob	1404.853	599.795	1428.74	1646.398	339.354	1916.93	1178.344	537.485	2510.788	932.237	639.18	2772.748	806.608	4984.174	1819.533	1164.354	1010.894	3983.571	975.104	903.883	2549.196	1111.48	930.445	2941.447
Rhobtb1	389.008	406.584	359.228	413.913	536.467	340.475	354.983	138.109	427.598	189.849	198.757	437.738	279.321	454.445	153.51	338.418	782.883	557.735	323.076	191.422	321.326	363.04	341.954	347.506
Rhobtb2	255.036	1015.128	838.874	326.505	759.14	941.415	356.468	991.692	991.568	506.999	804.437	819.065	311.143	871.361	1158.781	281.072	411.16	767.763	457.767	937.579	1187.269	320.517	429.209	965.788
Rhobtb3	1095.811	731.892	933.518	761.926	625.124	715.948	473.343	786.878	1311.429	943.314	796.234	729.469	946.63	618.327	1174.072	699.665	1055.632	877.452	965.979	1359.626	1375.136	867.865	916.504	1074.759
Rhoc	9459.267	5301.602	18247.37	11355.319	4162.091	19651.724	12676.78	2785.979	10494.854	10905.031	3585.672	17554.441	11717.103	16418.937	14474.659	13472.311	4693.794	15807.812	7276.038	2542.215	8681.472	11494.314	3411.248	13610.861
Rhod	373.315	351.044	1175.975	348.218	587.958	1151.932	839.191	259.796	348.185	777.825	340.009	715.337	322.061	493.123	865.932	361.902	229.215	354.966	287.823	227.552	381.924	283.382	338.956	464.208
Rhog	4366.123	7287.459	8510.744	7654.408	7654.029	10576.833	7497.697	6097.033	9257.973	8778.045	7829.243	9745.706	5968.014	10356.96	8019.645	7561.777	10681.116	11606.593	5288.439	7540.35	6342.715	7284.09	9004.51	10236.259
Rhoh	324.534	669.965	839.825	408.748	927.545	935.852	748.087	602.491	452.802	824.668	730.916	676.904	356.67	469.727	736.807	491.203	1031.77	687.153	235.444	817.639	396.599	287.774	874.078	625.559
Rhoj	12867.5985	10278.265500000001	11308.1955	12413.726999999999	7358.039000000001	10947.835	12443.1065	7281.487499999999	8802.8305	9601.163	7432.8814999999995	11264.718499999999	10078.396	9423.2695	7905.956	11086.803	6110.0715	9399.2935	9689.636999999999	5546.1755	6292.2395	11097.246500000001	5722.507	7663.201500000001
Rhoq	1502.805	530.659	1368.909	1281.884	773.568	1185.813	870.304	541.436	1449.653	880.438	483.023	1384.869	1394.729	1344.176	1507.844	1265.4	1262.891	1213.214	1217.929	740.116	1695.1	1169.635	831.455	1189.611
