Group.1	P32DA1	P32DA2	P32DA3	P32DB1	P32DB2	P32DB3	P32HA1	P32HA2	P32HA3	P32HB1	P32HB2	P32HB3	P60DA1	P60DA2	P60DA3	P60DB1	P60DB2	P60DB3	P60HA1	P60HA2	P60HA3	P60HB1	P60HB2	P60HB3
2610020o08rik	3297.124	2264.568	2687.06	3571.014	2760.056	2509.985	2639.274	1919.268	2236.611	2736.654	2171.665	2499.795	2926.86	1721.655	2138.451	3271.466	4151.466	2200.159	1974.875	2644.818	1834.237	2966.913	3331.988	1771.863
A2m	34165.81	43982.906	38551.69	32401.342	39972.462	33727.743	33117.647	36794.389	38289.327	29681.448	37411.594	35838.354	35938.73	41680.275	38173.359	34097.595	35261.177	38344.386	30635.291	35319.639	36007.969	25642.209	35674.904	32344.466
A3galt2	1451.754	1815.2	2767.777	1694.741	804.412	2907.869	2573.009	580.676	996.216	2097.854	841.294	1392.171	1578.47	3562.025	2964.886	1866.849	1306.103	2974.922	751.452	679.999	756.974	1131.925	876.627	1772.936
Aaas	1440.183	2009.289	2606.446	1367.745	1135.12	2734.696	1252.395	1674.679	2316.536	1513.873	1323.535	2423.623	1269.379	2385.607	3136.15	1293.646	1087.809	2444.187	1515.954	1464.578	2635.205	1214.662	1214.24	2339.079
Aacs	786.26	3717.926	1303.244	1625.086	2748.779	2202.872	632.244	2374.315	2285.212	1068.686	3939.853	3607.327	442.971	1462.947	768.423	639.759	1665.477	1843.35	714.39	1779.1	1138.381	1087.463	1692.253	2044.83
Aadat	848.462	290.573	1598.351	1178.81	430.1	1125.065	2076.676	116.256	328.085	1269.574	368.475	614.402	1059.007	453.638	594.839	1945.501	2765.572	1460.211	326.197	221.847	199.381	1561.135	1335.38	1068.974
Aamp	14048.334	20615.697	19175.917	12683.25	13731.756	19441.376	14852.585	15798.336	21896.48	11487.081	15201.465	23155.003	14027.353	22106.881	19143.712	15486.388	9524.587	22743.96	12708.083	11652.126	22864.806	15353.314	9063.255	23791.644
Aard	717.529	195.039	1392.286	1479.958	484.361	2437.338	1482.887	185.505	718.01	2958.559	439.53	1700.699	518.061	206.597	680.418	885.033	334.923	431.874	460.457	196.292	308.829	869.682	561.026	944.384
Aars	17780.277	23354.052	11767.072	15126.288	13832.14	10446.175	11836.564	18684.972	22575.033	7906.531	17787.765	17545.913	15131.318	23983.921	10161.907	14842.542	11174.546	19623.315	17760.866	15761.062	25716.322	19144.5	10163.373	21295.393
Aasdhppt	6883.5785	5048.032999999999	10288.807	6543.6720000000005	7057.7675	9370.754	7099.924499999999	5995.032499999999	7540.0135	8687.618	5667.0535	7767.8785	9765.0945	5960.122	9946.752	8861.1255	5422.2705000000005	6078.7175	7962.076999999999	5150.606	7690.9055	9368.712	5723.3835	7133.964
Aass	2373.494	3534.032	3976.446	3634.809	3719.472	4737.532	5704.939	2289.202	2598.155	2970.706	4920.31	4707.89	2744.911	3801.287	2868.861	4417.013	6925.438	5320.615	1540.907	4235.138	2196.272	4063.807	6601.846	5691.094
Aatf	4284.583	1602.462	3612.663	3863.293	1463.819	3108.891	3431.014	1920.817	3848.427	4022.412	2145.506	2912.405	4127.748	2922.058	3519.538	3403.349	2222.674	2809.833	4280.931	4357.235	4100.703	3910.925	2984.012	3315.777
Abat	2270.002	2356.118	2714.35	3190.378	2767.951	3439.522	3578.982	2318.96	2108.391	3932.249	2773.481	2921.964	2041.812	1553.772	1872.925	2769.195	2894.29	2513.844	2652.074	2381.989	2027.243	3487.082	3168.541	3159.974
Abca1	1154.77	4356.335	2065.457	926.695	3237.608	1719.593	1386.646	984.439	1187.468	663.809	1349.305	1348.736	1959.195	2491.91	2558.793	1996.066	4097.78	3043.034	393.919	1264.463	1013.605	511.903	1716.563	1206.818
Abca2	892.321	2651.071	406.156	1184.154	1474.077	585.248	1548.788	1738.545	1014.208	587.126	2173.344	1227.307	766.428	2234.618	989.963	1266.892	1161.464	1813.634	1133.59	782.004	963.214	1426.475	628.856	1550.9
Abca3	2238.884	5061.9225	1596.3429999999998	2216.8075	2945.9139999999998	1730.9035	2721.3050000000003	4100.5575	2330.629	1701.9544999999998	3694.681	2398.186	1846.624	3786.4610000000002	1849.9465	2186.9545	3105.293	2761.6639999999998	2622.2275	2170.345	2169.138	2265.943	1643.1015	2401.5465
Abca5	865.553	319.069	1163.287	1388.282	271.543	1280.49	1321.12	468.564	966.001	1473.309	718.286	986.459	984.686	599.773	1389.42	1099.589	864.263	981.823	983.412	972.527	1302.513	1240.546	1029.666	1372.959
Abca7	530.723	2937.843	577.334	446.652	990.092	553.647	670.64	1594.873	930.073	537.315	1402.402	716.323	547.012	1647.007	1511.638	498.505	353.945	792.052	868.607	911.604	1240.74	572.515	500.167	1087.836
Abca8a	4160.66	3584.679	6394.468	3396.771	1685.883	3963.564	2945.917	2636.819	7288.496	2752.779	2535.229	5098.958	5169.638	5601.55	5560.383	4239.876	3470.652	5489.494	4276.86	3914.535	6667.953	4117.971	3240.174	5285.354
Abca8b	608.406	106.006	980.535	520.295	114.931	764.056	461.743	74.599	753.747	332.955	85.844	695.572	901.379	563.933	1070.066	754.452	184.77	557.818	521.577	97.516	777.005	624.223	104.782	627.77
Abca9	539.216	127.257	371.088	501.583	109.843	343.571	277.643	83.552	562.205	247.863	104.835	506.929	313.804	205.271	243.499	390.23	168.84	476.416	302.592	98.441	473.506	429.735	156.183	481.102
Abcb10	506.889	912.054	307.725	491.353	501.595	286.861	511.747	637.961	530.764	344.795	615.633	474.689	512.856	715.537	349.857	501.019	308.4	528.153	582.142	270.829	623.957	454.963	233.102	471.798
Abcb1a	1967.535	1499.397	1110.42	2070.729	614.076	1065.036	1938.655	1241.839	2618.989	1123.215	1218.013	2328.911	2351.879	2806.824	1490.581	2475.455	2116.803	3287.578	1959.81	1175.894	2820.596	2299.198	1113.239	2722.713
Abcb4	420.843	740.718	932.341	854.976	829.721	1199.858	1565.861	402.862	703.646	711.423	670.76	2086.966	1341.716	1287.511	1439.772	1717.756	1672.076	1810.746	394.216	371.882	799.14	762.782	976.995	1149.146
Abcb6	10488.656	11165.565	4846.984	9644.958	8133.283	4332.069	6909.397	8199.559	8287.396	7306.452	7367.105	7046.522	9056.462	8407.612	6415.719	8723.87	5486.374	8361.76	11320.189	6195.275	10394.42	10586.08	4826.955	8705.004
Abcb7	1285.691	301.991	1280.169	1442.924	572.888	1417.203	1304.651	346.105	1028.135	1133.811	513.873	1028.571	1391.239	696.798	1025.441	1321.063	971.663	881.594	847.952	819.324	1052.801	1483.251	834.158	925.246
Abcb8	2295.93	3736.999	2577.381	1915.613	967.802	2621.167	2459.405	3179.17	3282.644	1209.257	2771.895	3107.443	1496.569	4964.012	2512.007	1447.094	1254.217	2646.683	3172.925	1484.629	3033.174	2118.622	913.713	2362.019
Abcb9	289.164	1341.313	403.532	252.404	541.146	322.547	355.202	1899.606	967.149	225.57	1479.342	645.548	224.768	1172.709	555.427	182.366	204.123	543.42	563.989	479.85	874.594	265.877	238.343	623.671
Abcc1	4611.774	7326.7	3228.247	5382.36	8008.831	3355.162	4632.387	4602.488	3771.467	3132.558	4851.433	4290.84	4436.813	4819.463	4082.344	4786.563	3230.973	4305.81	3351.352	3373.36	3452.256	4622.672	3446.996	3902.195
Abcc3	262.463	114.6	249.446	374.575	82.478	311.305	484.158	109.448	205.858	224.188	101.341	318.048	312.464	416.526	252.93	428.37	119.953	467.888	160.863	30.744	197.387	318.747	31.793	355.18
Abcc4	1242.176	2058.777	1130.102	1738.478	2179.266	1318.495	1709.291	1449.531	1702.804	1512.629	1712.785	1766.733	1779.824	1581.846	1672.924	2159.245	2134.915	2218.968	1252.64	1464.818	1701.202	1873.344	1752.107	1943.073
Abcc5	2658.635	2926.518	1292.047	2454.383	1990.163	1195.649	1740.897	2586.511	2987.173	1171.463	2145.498	2141.283	2254.644	3049.411	1337.605	2048.016	3302.788	2880.499	2866.822	2734.133	2707.67	2539.921	1933.618	2292.528
Abcc8	791.261	2147.594	489.805	622.423	923.551	399.691	846.907	2055.045	1025.275	1130.964	1392.659	590.633	836.48	1142.611	781.723	528.988	351.993	600.832	2021.648	1097.139	1433.415	1050.509	645.823	906.605
Abcc9	548.483	323.073	308.815	569.195	123.114	221.815	168.506	525.53	540.765	107.708	293.853	370.801	291.429	499.772	104.267	376.024	610.63	319.833	333.154	196.912	436.995	330.8	192.473	368.004
Abcd1	145.705	590.005	244.145	155.212	463.993	276.739	135.161	558.529	196.508	120.977	542.721	236.105	152.026	416.984	201.961	171.907	573.057	246.619	143.771	415.113	198.311	157.301	296.519	213.78
Abcd2	5042.198	9872.527	3542.501	4543.142	8586.364	3091.608	3586.307	8822.062	6044.187	3285.092	8891.267	5088.577	5275.603	6836.443	2947.684	4043.212	4990.709	4149.374	5584.13	7172.758	6699.541	6160.911	6406.558	5672.899
Abcd3	1462.532	1168.362	1981.006	1488.646	1389.666	2026.271	1183.597	1316.095	3400.9	1099	1475.555	2959.563	1445.609	1098.126	1576.629	1512.92	1230.528	2563.654	1403.764	1639.272	2335.361	1926.907	1440.075	2306.74
Abcd4	383	935.406	634.378	413.918	796.475	687.694	545.578	624.413	661.429	512.709	684.865	632.001	443.242	661.191	849.932	388.026	479.324	804.439	408.906	518.878	654.636	372.388	465.66	651.873
Abce1	5141.573	1086.762	4208.9	4827.565	668.126	3387.791	2726.281	877.406	5725.861	1949.961	870.547	4683.201	4739.838	4035.345	2239.988	4715.588	2523.781	4854.491	3414.91	3586.604	6138.013	5064.758	2817.064	4785.55
Abcf1	6164.677	8322.188	3353.163	6355.989	5083.285	3029.002	5708.039	5531.3	4745.999	3429.075	5868.5	4445.776	5536.821	7505.08	3410.07	5759.576	3580.619	5388.789	5296.084	3924.855	5037.618	4814.204	3209.383	4661.55
Abcf2	11586.609	9077.6	5009.877	9515.131	7353.581	4466.232	6579.383	8663.773	9319.15	5132.935	7852.386	6780.466	8918.698	8979.529	4821.837	8050.593	4047.316	8237.911	11171.041	7175.925	9628.38	10379.76	4971.962	8535.028
Abcf3	8721.539	21566.898	11010.601	8772.94	18052.839	9751.868	9585.665	17501.628	13437.945	6819.648	16635.004	13769.722	9553.41	17576.755	10772.798	8815.703	10418.107	12346.861	11275.467	13047.466	15724.743	10010.064	11523.864	13204.292
Abcg1	820.194	1861.304	828.638	724.705	1154.192	643.465	887.558	1615.642	912.866	315.586	1437.215	924.631	770.816	2469.108	656.351	827.975	703.846	1286.39	908.297	544.377	1109.027	604.775	449.841	890.053
Abcg2	1624.087	1353.655	2253.302	1991.388	1588.436	2386.91	2516.966	1969.675	3085.4	2846.559	2118.824	2600.285	2615.407	2290.333	3799.685	2585.687	2664.749	2952.302	2040.179	2682.891	3230.153	2737.271	3184.984	3234.664
Abcg3	5369.198	6862.885	7351.202	6699.259	10066.367	9932.992	7655.428	6408.657	6410.679	7541.996	8306.514	8744.595	5695.13	4331.456	8729.27	7105.223	11924.298	9455.234	3839.378	8936.731	5502.125	6737.074	11702.849	8823.689
Abcg4	489.253	645.582	383.989	314.349	276.849	329.296	254.197	1235.672	882.248	196.808	597.127	471.619	363.82	1284.682	519.647	260.065	438.844	383.484	864.998	736.475	809.086	373.98	398.232	446.117
Abcg5	356.977	322.603	1025.972	273.531	323.895	631.46	361.767	176.039	196.648	234.679	216.013	643.21	533.663	324.852	882.643	391.701	282.516	331.1	167.591	202.395	162.496	243.031	214.673	225.827
Abhd1	3877.927	6945.45	5029.241	3772.951	5873.222	4533.785	4137.776	5605.838	4453.427	4660.712	5495.019	4513.559	3288.024	4342.002	6194.495	3531.57	5001.253	4843.517	3189.507	4380.697	4192.472	3104.63	4950.494	4812.478
Abhd14a	3228.248	8548.166	5687.434	3538.529	8037.769	6113.055	4974.67	7904.876	5631.919	6155.903	7147.729	5758.773	3785.395	5475.446	7612.656	4035.57	5776.722	5443.748	4421.766	6436.913	4927.589	4429.975	6976.383	5860.958
Abhd14b	6545.768	8472.753	14654.6	7230.661	7541.823	14471.655	9036.911	8532.019	10534.483	10174.121	9065.4	11483.576	6914.41	10988.806	10608.498	8433.944	9684.625	12248.633	7641.704	9851.681	9300.985	8671.981	10617.021	13546.092
Abhd2	683.7	639.282	722.541	696.325	546.838	688.959	851.379	610.964	551.606	661.983	639.588	511.172	645.347	686.339	616.062	665.757	682.416	592.678	696.028	554.079	519.177	609.239	637.681	555.724
Abhd3	8238.748	7444.457	9526.244999999999	11588.164	10802.127	12203.797999999999	9585.877499999999	9125.657500000001	14238.573	10647.9695	10262.908	13782.6885	8475.653	7184.41	10126.549500000001	10253.4575	10362.756000000001	13996.874	10534.7735	11559.3745	14159.720000000001	12226.703000000001	11222.637	14333.556
Abhd4	2257.418	3711.532	2936.041	3125.31	2308.269	3212.845	4147.957	2857.625	2971.681	2691.926	3369.536	3027.36	2311.897	4675.196	2464.615	3553.287	4839.668	5587.546	2376.845	1921.663	2168.312	2764.544	2430.704	3561.23
Abhd5	2302.456	755.558	2114.097	3191.131	795.066	2211.805	1351.58	453.129	2209.434	1094.493	600.295	2736.487	1637.604	1788.92	1051.819	2959.278	2328.402	3018.763	954.267	862.861	1604.177	2377.175	1228.251	2678.659
Abhd6	6640.372	5646.501	4193.85	6692.851	4045.827	3771.615	4504.769	6259.142	8508.213	4938.443	5362.402	5347.343	6122.455	6327.326	4218.728	5820.688	7963.071	7583.014	8851.076	7814.374	9444.985	7195.979	7275.575	7884.156
Abhd7	4372.115	1835.335	3599.537	3854.283	2457.078	3331.84	3882.036	2409.926	4037.279	5800.644	2209.634	3117.436	5430.785	2289.417	4816.533	4592.071	1481.841	2589.457	6804.266	3119.143	4754.108	5809.78	2727.542	3832.607
Abhd8	2882.731	3793.525	4486.528	2334.648	1173.754	4559.362	3576.084	3454.364	6175.918	2888.389	2474.683	5095.492	2601.681	6966.631	7241.767	2201.431	933.423	4905.468	5022.887	2396.556	7092.968	2742.788	1213.011	5557.76
Abi1	7063.338	3648.061	4386.787	7253.816	2359.8	4115.51	5853.05	4017.675	4928.611	5084.593	4873.673	5057.292	6755.548	4872.481	4061.078	7280.151	4938.955	6816.995	6017.421	4177.003	5093.563	6765.163	4558.743	5425.113
Abi2	383.444	57.21	288.886	362.198	35.329	254.535	192.432	47.868	856.664	96.625	64.872	470.655	803.987	300.62	254.858	755.693	311.313	380.798	554.515	171.506	498.692	803.041	152.484	381.067
Abl1	252.093	340.383	216.174	252.286	219.526	260.165	261.053	292.646	266.762	191.958	350.099	355.906	122.25	633.048	269.67	164.511	430.706	413.763	232.586	236.11	198.892	208.932	172.569	274.132
Ablim1	1866.192	854.178	591.907	1395.021	551.225	510.398	1484.217	917.938	950.228	1104.09	762.57	662.152	1576.165	751.996	907.106	1274.763	924.188	824.519	2329.154	951.872	1047.442	1505.209	698.852	808.059
Ablim2	4304.68	3111.661	1818.814	2546.12	1194.643	982.15	2069.974	4715.036	3849.056	1915.697	3061.108	2237.744	2396.642	4252.067	2187.426	1559.796	947.021	1863.908	6277.703	2907.328	3955.176	3180.148	1230.922	2232.546
Abp10	3186.541	545.128	838.53	2673.858	343.694	606.348	1466.837	561.039	1242.911	983.22	545.352	780.276	2366.573	1280.192	576.551	1802.738	1113.325	958.51	2179.674	1327.911	1475.672	1868.284	874.08	853.336
Abr	3232.468	3161.018	1337.754	2231.822	1642.687	669.083	1570.57	5408.253	3400.483	970.986	4240.772	1931.417	2834.158	3832.475	1002.504	1732.132	2487.801	1259.811	5500.04	3655.826	2469.834	2607.793	1900.529	1197.227
Abt1	2430.23	2808.698	3980.464	2260.138	2528.206	4079.507	2991.867	3141.829	3391.671	3318.761	3201.437	3443.836	2477.53	2633.18	4239.397	2172.834	3172.774	3435.577	2553.823	3865.921	3700.591	2141.066	3460.902	3665.429
Abtb1	2636.629	4963.722	5219.383	2458.837	3806.314	5057.962	3366.888	5038.934	6348.744	2942.107	3624.278	5355.859	2791.729	6244.066	6897.911	2354.56	1140.33	4725.624	4024.255	2826.604	7237.326	2612.801	1730.916	5517.57
Abtb2	473.399	1360.856	269.261	391.84	547.17	203.056	560.159	1107.451	336.815	427.837	914.322	232.475	364.246	551.25	279.681	345.796	625.178	359.147	527.788	593.235	338.218	326.269	437.218	320.334
Acaa1	2232.005	2022.283	1843.571	1889.133	1605.434	1980.038	2487.99	1995.655	1767.507	2775.699	1834.475	1558.112	1306.024	2398.08	2281.534	1159.725	976.85	1629.645	1704.827	1262.633	1801.264	1248.833	1139.199	1599.166
Acaa2	7332.75	7695.213	11509.36	8398.215	8583.857	13088.157	10472.322	7515.217	10194.491	9889.296	8202.655	12906.353	8614.506	10442.83	8810.916	9871.711	8326.49	10094.177	7924.969	7359.558	8298.005	9193.902	7914.568	10170.553
Acad11	563.78	451.806	501.32	584.683	173.36	538.314	601.265	143.666	744.552	384.766	343.942	798.728	591.595	568.572	396.27	742.175	607.465	879.587	525.891	372.575	777.615	677.214	494.427	883.697
Acad9	5542.0869999999995	8886.737000000001	4120.022	5574.1785	5419.017	3425.893	3907.3064999999997	6062.334	7463.5295	2788.949	5884.9155	5639.1005000000005	5591.8115	7407.95	3030.6775	4910.7615000000005	5641.263999999999	5899.424	5927.081	6089.226500000001	8903.064	5864.429	5057.782499999999	6914.6885
Acadl	15468.274	14926.685	14662.105	17152.021	14690.277	15170.218	18984.357	14683.513	13189.342	15500.632	16913.07	15032.296	16713.272	13820.754	16545.917	17994.325	15405.575	15759.408	14158.654	13521.785	15237.663	16589.64	14864.924	15277.502
Acadm	14296.967	5856.646	15345.76	13571.126	3992.178	14213.87	12243.741	7323.833	17926.336	12198.83	6366.963	15883.821	15904.659	14324.842	13930.283	14588.217	9626.133	13780.685	16410.566	13857.971	18833.984	16605.224	11451.117	15334.287
Acadsb	2948.926	423.736	624.163	2545.196	338.869	545.336	1268.842	626.223	1112.748	662.113	526.875	959.578	2117.22	790.499	413.034	2723.479	700.284	1356.547	1925.922	522.782	929.081	2753.479	417.6	820.458
Acadvl	6786.517	12317.644	8554.363	7181.248	8883.286	8713.498	7910.39	7586.583	8187.593	6223.561	8605.291	9873.02	6985.818	9597.874	7663.939	7654.352	9378.333	11827.667	5950.966	7371.438	6863.514	6745.14	7201.94	9629.108
Acat1	14268.907	11273.921	15264.701	15582.884	9425.771	15756.534	15253.525	10108.49	15545.224	15786.107	11380.707	16440.551	14100.79	15427.032	14716.678	15750.077	15131.767	15998.462	12487.017	15252.523	14966.948	15329.538	16110.525	17572.783
Acat2	2168.881	1453.915	3249.641	3841.199	1863.157	4801.068	2003.078	1298.169	3931.434	3599.664	2264.85	5556.671	2170.359	2591.948	2657.343	2266.778	1582.275	3251.048	2334.035	1883.9	3304.713	3730.719	2165.388	4892.151
Acbd3	1422.071	1664.463	1431.183	1274.033	1352.854	1259.551	1148.071	2023.828	1631.54	959.431	1390.869	1996.981	1476.074	1775.179	1602.43	1291.87	2611.557	1443.997	1216.903	2039.31	1858.461	1385.371	2068.171	1496.808
Acbd4	1073.175	1176.454	1600.187	1143.163	641.668	1703.356	2189.336	895.252	1754.998	1264.526	989.749	1659.924	1166.488	1947.159	1819.156	1224.131	426.971	1709.546	1642.857	645.705	1412.525	1246.223	490.192	1555.55
Acbd5	9254.753	1929.672	3553.599	8908.795	1774.522	2837.309	6059.373	2956.571	6135.742	4066.349	2578.858	5231.199	7368.552	3461.693	2639.069	8195.08	4227.238	4629.388	6635.303	4307.444	5127.507	8638.885	2897.514	4066.393
Acbd6	7222.967	5562.425	6144.854	5906.228	5501.346	5579.21	7071.855	6702.594	5759.264	7872.751	5819.623	4765.307	7053.168	3758.125	7115.597	5746.494	4146.849	4355.173	6864.024	5478.18	6557.438	6097.958	4813.831	5087.019
Accn2	1280.749	2156.089	1050.309	903.832	1536.276	1032.746	951.518	3496.135	1331.863	1070.125	2125.025	1229.998	1086.43	1547.842	1416.293	899.764	993.652	1014.939	2074.496	2174.803	1458.452	1202.593	1107.653	1302.21
Accn3	16876.284	21873.228	15875.424	13285.2	15679.002	10715.159	11456.738	22834.985	22551.192	14395.277	20272.892	16183.764	15400.18	29095.362	23102.891	9708.96	9279.196	14396.522	19834.969	18617.497	26509.662	13604.36	13465.956	18327.681
Ace	356.343	942.526	396.093	373.945	489.727	401.498	433.202	831.852	518.571	576.63	668.24	494.336	505.959	594.086	746.457	537.307	461.552	459.312	652.136	608.162	656.076	504.622	500.739	529.571
Ace2	2798.62	1569.38	1390.275	4091.975	1740.767	1340.235	2172.766	1728.216	2657.014	1621.239	1458.11	1942.236	2238.795	2309.791	1860.903	2686.687	2091.991	2896.647	1379.668	2270.19	2300.389	2910.739	2372.424	2362.775
Ache	1330.985	589.905	473.538	877.762	194.936	713.715	946.388	1119.647	1201.591	1329.996	991.373	702.622	1155.468	2012.23	866.424	724.975	270.283	498.208	2141.771	665.081	1639.454	1301.048	424.194	1151.577
Acin1	8040.227	10215.003	1988.899	7350.987	8655.517	1777.752	6082.341	9583.864	4078.668	2915.432	8663.956	3934.987	7505.865	9297.166	3351.579	7898.7	4935.382	5425.831	7817.771	4896.927	3371.306	7007.091	4428.994	3483.551
Acly	5377.56	5190.06	1868.982	4745.752	4050.024	1851.08	2916.459	4025.243	4188.294	1720.416	4021.861	4194.893	4122.648	6334.748	1371.321	3908.375	3437.944	4616.45	5312.613	3452.604	4461.525	4683.954	2792.904	4388.101
Acn9	6050.404	2521.821	5734.477	5535.904	3122.51	5044.429	6101.986	4441.2	5152.711	9094.049	3248.139	3789.305	6659.286	2990.214	5850.242	4282.687	2278.81	2230.454	9087.516	3211.185	5834.554	5734.892	3356.726	3812.125
Aco1	7665.286	7103.903	4093.595	8191.89	4738.741	4310.935	6209.811	4610.157	4730.864	5855.513	5708.158	5845.126	4333.648	7059.47	2965.468	5542.935	6706.964	6926.609	4338.591	4119.42	4170.549	5424.453	4614.969	5831.221
Aco2	15925.318	27106.81	15418.762	15649.792	19042.163	14856.511	15896.935	24844.673	23115.032	14034.682	20972.25	19839.412	14771.286	23922.89	15523.082	14946.558	19500.163	21236.851	19039.472	23683.108	24116.839	15201.004	19601.378	23567.835
Acot7	7800.616	20794.87	6987.963	6337.922	16426.002	7447.801	6856.667	22322.024	12576.72	7576.907	18830.526	9731.168	7516.818	13779.773	10901.806	5390.085	10225.787	8048.887	12931.091	18525.919	14584.074	8244.284	12613.129	10930.266
Acot8	2014.941	7562.079	4698.932	2012.504	8242.353	4565.293	3290.073	10166.603	4296.37	4319.324	8114.256	3790.02	2556.256	4165.269	5273.919	2314.497	5074.221	3404.917	3628.597	7160.737	4575.666	2476.043	6296.304	4149.134
Acox1	2601.645	2186.663	1447.891	2735.307	2014.202	1399.875	1779.862	1809.936	2715.178	1099.942	2015.302	2776.414	2013.239	2652.615	1244.582	2554.565	4512.65	3010.754	2051.952	2483.389	2367.426	2429.117	2580.419	2391.134
Acp1	3095.93	2726.49	2901.235	2847.948	3869.697	2967.674	3013.455	4451.475	2642.471	4189.392	3863.558	1747.528	3694.543	1586.666	2782.733	3223.081	3047.388	1332.942	4615.199	4898.243	2669.11	3302.819	4002.701	2037.587
Acp2	3128.874	3594.722	3031.31	3163.555	1627.895	3025.4	3264.554	3706.621	3345.263	2907.316	2633.216	2706.012	3264.035	3175.907	2847.133	3305.471	2132.71	3218.789	4115.219	4035.674	3394.619	3567.259	2779.458	3172.427
Acp5	1486.298	4997.232	4576.921	2297.678	7502.211	6165.288	6881.479	5029.155	1235.565	3575.913	5283.974	3016.291	1405.886	2742.109	2519.269	2912.156	4289.878	2556.224	586.558	1751.457	737.419	3151.68	4925.108	2768.809
Acp6	6436.809	6684.524	6385.81	6322.037	6381.691	5789.484	5526.64	5850.496	5478.986	6692.541	5462.901	5557.078	6347.129	5872.869	5576.522	6109.124	5110.048	4814.101	5831.323	5027.649	5096.389	5903.25	4726.35	4746.411
Acpl2	638.406	241.60250000000002	479.10900000000004	515.0065	178.52300000000002	405.735	317.4615	346.927	758.098	157.7705	296.8365	563.6975	436.8125	1104.9075	341.09950000000003	373.779	465.8665	688.6575	531.9685000000001	523.433	837.278	377.0855	244.55700000000002	609.136
Acrbp	759.473	459.796	714.763	752.076	956.904	645.663	466.18	682.568	1226.705	777.558	512.056	1118.351	712.226	1219.147	1528.66	715.41	789.813	1220.143	872.232	883.723	1285.308	758.924	861.219	1261.443
Acsbg1	320.252	1354.98	538.944	2500.268	1962.844	1642.922	4670.483	616.577	942.496	1754.849	3413.619	2133.402	587.699	609.994	306.511	2731.762	5419.599	4405.402	290.603	459.187	193.281	2852.808	3326.753	3266.829
Acsl1	1741.794	1249.055	1159.005	2125.768	894.432	1217.695	1064.088	955.612	2108.121	559.277	1352.803	2355.51	1746.297	1414.334	974.068	1818.564	1284.838	1572.211	1606.748	1344.542	2107.856	2555.857	1349.217	1725.164
Acsl3	19964.317	12246.655	16791.972	21024.977	12313.442	14415.425	15879.203	13865.626	19239.61	10037.852	15343.388	21292.619	18507.647	16289.394	11469.117	19319.417	13937.152	17122.511	16687.626	16726.617	17618.041	20772.182	16403.879	17713.751
Acsl4	952.335	476.727	487.971	871.945	348.044	397.007	396.5	360.15	609.243	180.17	433.568	422.661	808.261	465.655	298.457	731.772	955.65	504.192	582.155	312.753	467.62	674.488	357.21	417.564
Acsl5	8994.487	5537.414	5965.199	9558.727	5952.187	6827.986	9923.273	7107.664	7388.895	8060.927	7101.553	7116.532	9681.324	5401.269	5419.267	10329.228	5899.895	6816.548	10469.66	6823.54	8355.168	9811.616	6014.474	7590.646
Acsl6	2884.342	3330.241	1822.131	3665.358	3241.243	2116.186	4130.99	3835.382	4271.972	2109.126	5263.176	3646.669	2515.757	2976.072	2320.353	3894.618	2701.77	4015.571	4824.61	4036.682	4312.14	4910.313	3840.39	4161.02
Acss2	10900.748	8679.341	9653.855	11872.811	6307.701	10153.183	7887.085	8412.035	15588.294	8865.847	8339.911	14459.756	10912.648	10908.561	9626.035	9083.736	6237.425	11499.919	13285.716	10049.382	16828.699	11175.138	7640.642	15068.243
Acta1	114.106	417.911	317.39	118.671	558.894	415.677	89.442	485.791	248.836	859.092	566.954	312.236	189.121	409.105	308.094	180.337	648.268	205.535	190.972	1720.229	242.881	166.483	2128.747	225.921
Acta2	1545.896	5698.638	1137.76	2093.497	5304.359	1388.19	1716.03	6736.434	1339.589	1688.179	4425.32	2289.339	2034.542	2577.311	2598.273	3399.607	7381.412	1720.479	2011.75	4966.181	1436.649	3269.022	7159.228	1667.976
Actb	27820.966	20521.595	35363.229	28954.401	18280.693	34566.322	26181.937	19436.939	36706.769	22684.071	20950.532	35559.719	26658.597	31017.987	31937.15	29437.481	21047.839	38108.895	26623.551	20645.049	36332.236	26871.389	20992.172	34378.356
Actg1	24466.1875	31056.1835	26423.8065	25138.1305	24998.6815	28176.690499999997	24365.175499999998	29582.6475	27745.558	23848.7115	29957.7195	29012.114	23542.063	31752.766000000003	25190.497499999998	24091.447	33558.3365	30146.277000000002	24359.6955	31039.159	28236.281499999997	24656.828	29080.459	28884.8435
Actg2	472.372	1206.573	545.192	825.395	2322.942	851.759	718.906	1162.413	937.599	1297.743	1008.058	944.525	495.042	693.372	1646.157	966.063	1158.83	1228.639	430.22	1005.352	693.764	836.731	1977.052	1118.162
Actl6a	2798.945	4218.429	4414.163	3187.238	4092.955	4413.715	3515.506	3610.389	4072.337	3536.349	3937.639	4414.199	4244.359	3762.338	4630.945	4524.689	4561.69	4691.164	3568.438	4306.945	4264.43	3982.806	4388.992	4392.765
Actl6b	1994.23	5119.023	2301.001	1397.678	4425.741	1714.65	1423.374	5723.725	2649.794	1679.534	4552.226	1831.66	2119.813	4203.547	3208.579	1253.677	1936.179	1328.626	3198.694	4815.137	3893.325	1691.942	3643.369	2139.62
